Place,Movie Title,Rating,Year,Reviews
"1,001",Baap Ka Baap,5.6,2003,0
"1,002",Aisaa Kyon,4.2,2003,0
"1,004",Humein Tumse Pyar Ho Gaya Chupke Chupke,2.2,2003,0
"1,005",Kaash... Hamara Dil Pagal Na Hota,4.0,2003,0
"1,006",Anubhav: An Experience,3.6,2003,1
"1,008",Pyaar Kiya Nahin Jaata..,6.5,2003,0
"1,010",Winner,6.3,2003,1
"1,012",Koi Hai,2.6,2003,0
"1,015",Smile Please,No ratings,2004,1
"1,020",Mysteries Shaque,5.3,2004,0
"1,021",Giri,5.8,2004,0
"1,035",Ek Raat Shaitan Ke Saath,2.9,2004,0
"1,042",Hottest Mail.Com,No ratings,2004,1
"1,048",Jungle Ka Sher,4.8,2004,0
"1,051",Kaam Jwala: The Fire,4.7,2004,0
"1,054",Kundan,7.0,2004,0
"1,057",Khooni,4.0,2004,0
"1,060",Kachhi Kali,4.3,2004,0
"1,075",Zakhmi Naagin,6.6,2004,0
"1,082",School,7.6,2004,0
"1,089",Aankhein: The Third Eye,7.1,2004,0
"1,111",Varnajalam,5.1,2004,0
"1,116",Man on Mission Fauladi,5.9,2004,0
"1,118",Qatilon Ka Qatil,4.8,2004,0
"1,120",Thokar,8.6,2004,0
"1,122",Kalasi Palya Junction,5.4,2004,0
"1,129",Aar Paar: The Judgement,6.4,2004,0
"1,136",Ishq Hai Tumse,3.4,2004,3
"1,137",Plan,4.4,2004,9
"1,138",Paisa Vasool,4.3,2004,5
"1,139",Ek Hasina Thi,7.5,2004,21
"1,140",Khakee,7.4,2004,23
"1,141",Aetbaar,4.7,2004,14
"1,142",God Only Knows!,5.8,2007,4
"1,143",Kaun Hai Jo Sapno Mein Aaya,5.8,2004,3
"1,144",Jaago,6.6,2004,3
"1,146",Hava Aney Dey,6.5,2004,1
"1,147",Rudraksh,2.7,2004,16
"1,148",I - Proud to be an Indian,6.1,2004,9
"1,149",Kismat,4.0,2004,5
"1,150",Mr Lonely Miss Lovely,6.2,2004,0
