Place,Movie Title,Rating,Year,Reviews
"4,001",The Great Leader Kanshiram,8.4,2017,0
"4,002",Hind Ka Napak Ko Jawab,7.0,2017,11
"4,003",Newton,7.6,2017,10
"4,004","U, Me Aur Ghar",6.5,2017,1
"4,006",Viceroy's House,6.7,2017,2
"4,007",Typecaste,7.2,2017,2
"4,008",Running Shaadi,6.5,2017,14
"4,009",Irada,6.3,2017,18
"4,010",The Ghazi Attack,7.5,2017,7
"4,011",Q,6.3,2017,3
"4,012",Rangoon,5.6,2017,4
"4,014",Veeram,6.3,2017,8
"4,015",9 O' Clock,7.0,2017,1
"4,016",Wedding Anniversary,4.9,2017,2
"4,017",Chauhar,7.6,2017,0
"4,018",Sunday Night,8.0,2017,0
"4,019",Commando 2,5.4,2017,1
"4,020",Jeena Isi Ka Naam Hai,5.3,2017,2
"4,022",Horror Night,3.8,2017,0
"4,023",Luv Shuv Pyar Vyar,4.7,2017,2
"4,024",Baba Sathya Sai,6.1,2017,0
"4,026",Badrinath Ki Dulhania,6.1,2017,19
"4,028",Bitch,6.4,2017,0
"4,029",Khamosh Adalat Jaari Hai,7.9,2017,0
"4,030",Avsar,6.4,2017,9
"4,031",Machine,2.7,2017,20
"4,032",Aa Gaya Hero,2.4,2017,10
"4,034",Pichiga Nachav,No ratings,2017,1
"4,035",Shuddhi,7.9,2017,7
"4,041",Phillauri,6.0,2017,17
"4,042",Mukkadarpur Ka Majnu,8.0,2017,0
"4,043",Le Lotta,7.3,2017,2
"4,044",Anaarkali of Aarah,6.0,2017,4
"4,045",Life Ki Aisi Ki Taisi,6.5,2017,0
"4,046",Bhanwarey,7.1,2017,2
"4,047",Baaki Itihaas,8.3,2017,0
"4,049",Naam Shabana,6.2,2017,4
"4,050",Bhangarh: The Last Episode,6.0,2017,5
"4,055",Blue Mountains,5.9,2017,2
"4,056",Jagga Jasoos,6.3,2017,13
"4,057",Laali Ki Shaadi Mein Laaddoo Deewana,3.3,2017,2
"4,058",Mirza Juuliet,4.4,2017,3
"4,059",Let's Talk About 'It',7.0,2017,1
"4,060",Kadamban,5.4,2017,4
"4,061",Saanjh,8.6,2017,15
"4,062",Begum Jaan,5.6,2017,10
"4,063",Romeo N Bullet,4.2,2017,0
"4,064",Noor,4.0,2017,1
"4,065",Maatr,4.6,2017,13
"4,066",Ajab Singh Ki Gajab Kahani,4.7,2017,0
"4,067",Bheja Fry 3,6.8,2017,0
"4,068",Rahenge Sadaa Gardish Mein Taare,6.0,2017,1
"4,069",Baahubali 2: The Conclusion,8.2,2017,21
"4,070",Masti Nahi Sasti,3.7,2017,0
"4,071",Junko,3.0,2017,1
"4,072",Zakir Khan Live,8.2,2017,0
"4,073",Shab,4.3,2017,4
"4,074",Ballavpur Ki Roopkatha,7.5,2017,0
"4,075",Mantostaan,6.3,2017,2
"4,076",Kis Kiss Ka Kissa,6.3,2017,1
"4,077",Meri Pyaari Bindu,6.0,2017,25
"4,078",Sarkar 3,4.9,2017,22
"4,079",Thodi Thodi Si Manmaaniyan,6.2,2017,2
"4,080",Boichek,6.6,2017,0
"4,081",Half Girlfriend,4.5,2017,7
"4,082",Hindi Medium,7.8,2017,10
"4,083",Viraam,5.8,2017,2
"4,085",Jattu Engineer,6.3,2017,7
"4,087",Bhamashah,7.6,2017,0
"4,088",Muzaffarnagar 2013,5.3,2017,0
"4,090",Sargoshiyan,6.5,2017,4
"4,092",Side A Side B,8.5,2017,0
"4,093",The Witch hour: Curse of the ring,8.0,2017,0
"4,094",Mirror Game,6.1,2017,5
"4,095",Flat 211,5.1,2017,5
"4,096",Dobaara: See Your Evil,3.7,2017,9
"4,097",Sweetiee Weds NRI,3.4,2017,4
"4,098",Dear Maya,6.1,2017,19
"4,099",Khoj,6.7,2017,13
"4,100",Hanuman Da' Damdaar,5.1,2017,7
"4,103",The Wishing Tree,5.7,2017,1
"4,104",Raabta,4.7,2017,11
"4,106",Behen Hogi Teri,5.6,2017,13
"4,107",Love You Family,4.7,2017,0
"4,108",Pirates 1.0,6.3,2017,0
"4,109",Bank Chor,6.0,2017,7
"4,110",G Kutta Se,8.5,2017,1
"4,111",Ramad,7.8,2017,1
"4,112",Phullu,6.0,2017,4
"4,113",Tubelight,3.9,2017,5
"4,114",ISIS,7.1,2017,0
"4,115",Where Has the Time Gone?,5.6,2017,0
"4,116",Ek Haseena Thi Ek Deewana Tha,2.3,2017,3
"4,118",Mom,7.2,2017,18
"4,119",Guest iin London,5.4,2017,2
"4,121",Jihad,8.8,2017,1
"4,122",Ghanta Chori Ho Gaya,5.0,2017,1
"4,123",III Smoking Barrels,6.6,2017,3
"4,124",Munna Michael,3.4,2017,16
"4,125",Vikram Vedha,8.3,2017,5
"4,128",Mubarakan,5.6,2017,17
"4,129",Raag Desh,8.2,2017,4
"4,130",Baaraat Company,5.3,2017,1
"4,131",Indu Sarkar,5.9,2017,5
"4,132",Sasural,4.8,2017,0
"4,135",Jab Harry Met Sejal,5.0,2017,5
"4,137",Gurgaon,6.4,2017,3
"4,138",Duniya Khatam Ho Rahi Hai,8.0,2017,0
"4,139",Shreelancer,6.6,2017,8
