Place,Movie Title,Rating,Year,Reviews
"5,001",Housefull 4,3.5,2019,22
"5,003",Made in China,6.2,2019,1
"5,004",Kanpuriye,6.2,2019,16
"5,005",Bedhab,5.5,2019,9
"5,007",Marne Bhi Do Yaaron,5.2,2019,3
"5,008",Ujda Chaman,6.9,2019,11
"5,009",Drive,3.1,2019,18
"5,010",Zindagi Tumse,6.0,2019,2
"5,012",Jwlwi - The Seed,8.3,2019,3
"5,014",Bala,7.3,2019,22
"5,015",Josef - Born in Grace,8.6,2019,1
"5,018",Ekta,7.1,2019,10
"5,019",Bypass Road,5.4,2019,3
"5,020",Satellite Shankar,6.3,2019,19
"5,022",Action,4.6,2019,25
"5,023",House Arrest,5.5,2019,20
"5,025",Keep Safe Distance,No ratings,2019,2
"5,026",Motichoor Chaknachoor,5.8,2019,1
"5,027",Marjaavaan,3.6,2019,22
"5,029",Alajh Palajh,8.7,2019,0
"5,030",Lorni - The Flaneur,6.7,2019,1
"5,031",Hum Bhi Akele Tum Bhi Akele,5.3,2019,6
"5,033",La cinta de Alex,5.9,2019,2
"5,035",Pagalpanti,3.2,2019,11
"5,036",Odd Couple,4.6,2019,3
"5,037",Kadakh,6.9,2019,11
"5,039",Marksheet,2.5,2019,0
"5,040",Yeh Saali Aashiqui,7.9,2019,19
"5,041",A Gift of Love: Sifar,8.3,2019,0
"5,043",LuvUTurn,8.0,2019,0
"5,044",X Ray: The Inner Image,3.8,2019,0
"5,045",Commando 3,5.9,2019,21
"5,046",Damayanthi,7.4,2019,7
"5,049",Devi Aur Hero,8.5,2019,5
"5,051",Panipat,5.2,2019,9
"5,052",Pati Patni Aur Woh,5.8,2019,7
"5,056",The Body,5.4,2019,23
"5,057",Mudda 370 J&K,8.0,2019,23
"5,060",Mardaani 2,7.3,2019,3
"5,061",Unfriends,8.4,2019,0
"5,063",Dabangg 3,3.0,2019,19
"5,066",Happi,7.6,2019,4
"5,068",Upeksha,8.6,2019,0
"5,069",Good Newwz,6.8,2019,5
"5,080",Fyaar,8.6,2019,0
"5,085",Lohardaga,7.9,2019,0
"5,087",Seasons Greeting,7.2,2019,1
"5,090",Dimensions,7.0,2019,0
"5,091",Baal Ki Khaal,7.8,2019,0
"5,092",Used,8.3,2019,0
"5,093",Dhumkkudiya,No ratings,2019,2
"5,096",Verdict,6.3,2019,1
"5,099",Lakhmipur ke Lukkhe,No ratings,2019,1
"5,108",Dhuusar,8.9,2019,2
"5,110",Ghost Stories,4.4,2020,13
"5,111",Beautiful,7.3,2020,0
"5,113",Koler Gaan,7.2,2020,0
"5,115",Astounding Courage in Distress,7.1,2020,5
"5,116",Antervyathaa,5.6,2020,0
"5,119",Shimla Mirchi,4.6,2020,15
"5,120",English Ki Taay Taay Fisss ...,7.2,2020,0
"5,121",Sab Kushal Mangal,4.2,2020,10
"5,122",Bhangra Paa Le,6.3,2020,23
"5,124",Darbar,6.0,2020,21
"5,125",Tanhaji: The Unsung Warrior,7.5,2020,11
"5,126",Chhapaak,5.3,2020,9
"5,127",Ala Vaikunthapurramuloo,7.3,2020,9
"5,128",Dhauli,8.0,2020,0
"5,129",Bunker,7.2,2020,18
"5,130",Awasaan,8.8,2020,7
"5,132",Jai Mummy Di,3.7,2020,14
"5,133",Court Martial,7.1,2020,12
"5,136",Panga,6.8,2020,25
"5,137",Street Dancer 3D,3.6,2020,6
"5,138",Gul Makai,2.5,2020,1
"5,139",Kottayam,8.0,2020,4
"5,141",Ek Sainik: The Tale of a Warrior,9.4,2020,9
"5,143",Happy Hardy and Heer,5.6,2020,15
"5,144",Run Zindagi Run,8.9,2020,0
"5,145",Pagleaazam,7.7,2020,0
"5,146",Deendayal Ek Yug Purush,9.1,2020,0
"5,147",Jawaani Jaaneman,6.5,2020,14
"5,148",Marma Mudichu,6.6,2020,0
"5,151",Malang - Unleash the Madness,6.5,2020,9
"5,152",Shikara,3.3,2020,16
"5,153",Khwab Sare Jhootey,8.1,2020,3
"5,154",Taanashah,7.7,2020,0
"5,155",Hacked,4.3,2020,19
"5,156",3 Shyaane,8.3,2020,0
"5,158",Kaanchli Life in a Slough,4.9,2020,4
"5,159",The Journey Weekend Night,7.0,2020,0
"5,161",Yahan Sabhi Gyani Hain,4.9,2020,9
"5,162",Love Aaj Kal,4.7,2020,21
"5,163",A Game Called Relationship,4.7,2020,17
"5,164",Shukranu,6.4,2020,16
"5,166",Bhoot: Part One - The Haunted Ship,5.4,2020,19
"5,167",Yeh Ballet,7.5,2020,9
"5,168",Shubh Mangal Zyada Saavdhan,5.8,2020,14
"5,169",The Hundred Bucks,6.4,2020,2
"5,171",Thappad,7.0,2020,9
"5,172",Sthalpuran,6.5,2020,0
"5,173",Doordarshan,6.1,2020,5
"5,174",O Pushpa I Hate Tears,5.3,2020,0
"5,175",Haunted Hills,7.4,2020,9
"5,176",Guns of Banaras,5.8,2020,1
"5,177",Kehta Hai Yeh Dil,3.9,2020,0
"5,178",Cookie,5.9,2020,17
"5,179",Rizwan,7.8,2020,2
"5,181",Laila Aur Satt Geet,6.6,2020,2
"5,186",Dheet Patangey,7.2,2020,11
"5,187",Welcome on Board,8.4,2020,8
"5,189",Baaghi 3,2.1,2020,10
"5,190",Guilty,5.4,2020,18
"5,191",Most Common Budbak,7.8,2020,14
"5,192",Operation Parindey,4.7,2020,10
"5,194",Atithi Kab Aoge Shhamshan,5.2,2020,0
"5,195",Angrezi Medium,7.2,2020,23
"5,199",Wanton,3.1,2020,7
"5,202",Maska,5.9,2020,1
"5,205",Bamfaad,7.3,2020,15
"5,207",One Stop for Love,8.9,2020,1
"5,208",The Pushkar Lodge,8.9,2020,0
"5,210",Ateet,4.4,2020,19
"5,212",Mrs. Serial Killer,4.2,2020,16
"5,214",Vyavastha,9.0,2020,0
"5,219",Silence of Sleep,No ratings,2020,1
"5,220",Parinati,7.6,2020,1
"5,221",The Motorcycle Man,No ratings,2020,2
"5,222",Ghoomketu,5.5,2020,1
"5,223",Little Singham: Kaal Ka Badla,7.4,2020,0
"5,227",Choked: Paisa Bolta Hai,5.7,2020,10
"5,228",Ek Battey Do,8.7,2020,0
"5,229",Chintu Ka Birthday,7.7,2020,5
"5,230",Climax,2.1,2020,15
"5,231",Gulabo Sitabo,6.3,2020,16
"5,232",Home Stories,3.5,2020,0
"5,233",Chaman Bahaar,6.9,2020,2
"5,235",Jannat House,7.3,2020,0
"5,236",Bulbbul,6.5,2020,2
"5,237",Unlock,5.9,2020,0
"5,240",I Know You,3.6,2020,6
"5,242",Virgin Bhanupriya,2.7,2020,25
"5,243",No Man's Truth,6.9,2020,10
"5,244",Gunjan Saxena: The Kargil Girl,5.6,2020,20
"5,245",Dil Bechara,8.1,2020,10
"5,246",Baabul Ki Dua,8.7,2020,1
"5,247",Yaara,6.1,2020,11
"5,248",Lootcase,7.6,2020,14
"5,249",Shakuntala Devi,6.1,2020,13
"5,251",Raat Akeli Hai,7.2,2020,25
"5,253",My Client's Wife,6.2,2020,12
"5,254",Maali,8.5,2020,1
"5,255",Pareeksha,8.1,2020,14
"5,258",The Hidden Strike,3.6,2020,7
"5,262",Khuda Haafiz,7.1,2020,14
"5,263",Filmi Raasleela,8.3,2020,2
"5,264",Class of 83,5.8,2020,21
"5,265",Mee Raqsam,6.7,2020,5
"5,266",Kriya,5.0,2020,4
"5,268",Ram Singh Charlie,7.9,2020,25
"5,269",Sadak 2,1.1,2020,1
"5,270",Meel patthar,6.6,2020,22
"5,271",Tallukh,5.8,2020,18
"5,272",Atkan Chatkan,7.7,2020,24
"5,273",I Am Not Blind,9.0,2020,15
"5,274",Love Qubool Hai,9.5,2020,0
"5,277",Regards & Peace,5.8,2020,0
"5,279",Vilom,6.2,2020,6
"5,281",London Confidential,6.1,2020,15
"5,285",The Evening Show,9.3,2020,7
"5,286",Halahal,7.0,2020,17
"5,287",Nympho: The Lust Story,5.0,2020,4
"5,288",X Zone,3.1,2020,0
"5,289",Dhoosarit - the Grey,6.6,2020,10
"5,290",Black Rose,8.4,2020,10
"5,292",Badnaam,6.9,2020,3
"5,293",Serious Men,6.8,2020,4
"5,294",Khaali Peeli,2.4,2020,24
"5,295",Bahut Hua Sammaan,7.2,2020,4
"5,297",Ginny Weds Sunny,5.7,2020,13
"5,299",376 D,5.2,2020,14
"5,300",Evil Eye,4.8,2020,2
"5,302",Chote Nawab,6.4,2020,1
