Place,Movie Title,Rating,Year,Reviews
"3,001",The World of Fashion,7.2,2013,0
"3,002",Aashiqui 2,7.0,2013,3
"3,003",Shree,6.3,2013,8
"3,004",Shootout at Wadala,6.0,2013,11
"3,005",Fireflies,5.8,2013,2
"3,006",Bombay Talkies,6.6,2013,22
"3,007",Oonga,7.3,2013,0
"3,008",Bin Phere Free Me Tere,4.6,2013,1
"3,009",Chhota Bheem and the Throne of Bali,5.8,2013,3
"3,011",Go Goa Gone,6.6,2013,17
"3,012",Gippi,5.6,2013,9
"3,013",Aurangzeb,6.5,2013,17
"3,014",Rangeelay,4.9,2013,3
"3,016",Ugly,7.9,2013,4
"3,017",I Don't Luv U,6.5,2013,0
"3,018",Monsoon Shootout,6.6,2013,14
"3,019",The Lunchbox,7.8,2013,25
"3,020",Ishkq in Paris,3.8,2013,7
"3,022",Hum Hai Raahi CAR Ke,2.7,2013,1
"3,023",Zindagi 50 50,2.8,2013,1
"3,025",Yeh Jawaani Hai Deewani,7.2,2013,17
"3,026",Meridian Lines,6.6,2013,0
"3,027",Dreamz: The Movie,6.2,2013,0
"3,028",Yamla Pagla Deewana 2,3.4,2013,12
"3,029",Kyun Hua Achanak,5.6,2013,0
"3,030",Chhota Bheem in Junglee Kabila,7.7,2013,0
"3,032",My Cornerstone,8.3,2013,0
"3,033",Fukrey,6.9,2013,16
"3,035",Shivalika,No ratings,2013,1
"3,036",Ankur Arora Murder Case,6.5,2013,20
"3,037",Lakeer Ka Fakeer,5.3,2013,1
"3,038",The Dirty Relation,3.6,2013,0
"3,040",Raanjhanaa,7.6,2013,14
"3,041",Shortcut Romeo,2.8,2013,3
"3,042",Enemmy,5.0,2013,2
"3,043",The Bright Day,5.8,2013,2
"3,044",Ghanchakkar,5.9,2013,17
"3,045",Lootera,7.4,2013,7
"3,046",Policegiri,4.1,2013,7
"3,049",Chhota Bheem in the Incan Adventure,7.7,2013,0
"3,050",Bhaag Milkha Bhaag,8.2,2013,11
"3,051",Sahasam,6.7,2013,8
"3,052",Sixteen,6.3,2013,13
"3,053",Tara: The Journey of Love and Passion,5.6,2013,2
"3,054",Shorts,6.4,2013,4
"3,055",Boyss Toh Boyss Hain,5.3,2013,0
"3,056",Zara sambhal ke,6.7,2013,0
"3,057",Ramaiya Vastavaiya,5.7,2013,25
"3,058",D-Day,7.2,2013,4
"3,059",The Good Road,6.0,2013,12
"3,060",Issaq,4.4,2013,6
"3,061",Ek Bura Aadmi,6.2,2013,0
"3,062",Bajatey Raho,5.3,2013,7
"3,063",Nasha,3.2,2013,13
"3,064",A Journey of Samyak Buddha,8.0,2013,0
"3,065",Pattathu Yaanai,4.0,2013,1
"3,066",Vakratunda Mahakaaya,7.0,2013,1
"3,067",Chor Chor Super Chor,6.5,2013,2
"3,069",Rabba Main Kya Karoon,4.4,2013,4
"3,070",Rajula,7.8,2013,0
"3,071",Calapor,5.2,2013,0
"3,073",Chennai Express,6.0,2013,17
"3,074",Neelakasham Pachakadal Chuvanna Bhoomi,7.6,2013,22
"3,075",Once Upon a Time in Mumbai Dobaara!,4.4,2013,20
"3,076",Kamasutra 3D,5.8,2013,2
"3,077",Madras Cafe,7.6,2013,24
"3,078",Ooops a Desi,7.0,2013,8
"3,079",Satyagraha,5.9,2013,6
"3,081",Zanjeer,3.3,2013,22
"3,082",Shuddh Desi Romance,5.8,2013,6
"3,083",Prague,5.6,2013,6
"3,084",Siddharth,7.4,2013,11
"3,085",Zindagi Jalebi,4.2,2013,0
"3,086",Goopi Gawaiya Bagha Bajaiya,7.4,2013,4
"3,087",John Day,5.6,2013,9
"3,088",Grand Masti,4.4,2013,7
"3,089",Horror Story,4.2,2013,9
"3,090",Phata Poster Nikhla Hero,4.9,2013,2
"3,092",Super Model,1.9,2013,1
"3,093",Maazii,5.9,2013,3
"3,094",Phoring,7.6,2013,5
"3,095",Warning,4.7,2013,3
"3,096",Raqt,5.8,2013,0
"3,098",A New Love Ishtory,6.2,2013,0
"3,099",Queen,8.1,2013,14
"3,100",Besharam,3.5,2013,25
"3,101",Lagna Pahave Karun,6.6,2013,3
"3,102",Liar's Dice,6.7,2013,11
"3,103",Jal,6.6,2013,7
"3,104",Baat Bann Gayi,5.1,2013,0
"3,105",Paapi - Ek Satya Katha,4.0,2013,0
"3,106",War Chhod Na Yaar,5.4,2013,11
"3,107",Boss,5.1,2013,19
"3,108",Anwar Ka Ajab Kissa,5.6,2013,1
"3,110",Kaphal: Wild Berries,8.6,2013,0
"3,111",Wake Up India,7.1,2013,0
"3,112",Mickey Virus,6.1,2013,18
"3,113",Satya 2,5.8,2013,10
"3,114",Ishk Actually,2.7,2013,2
"3,115",Sooper Se Ooper,4.3,2013,3
"3,116",Bull BulBul Bandook,4.7,2013,0
"3,117",Amdavad Junction,4.3,2013,1
"3,119",Krrish 3,5.3,2013,17
"3,120",Mastram,4.8,2013,7
"3,121",Sunglass,6.0,2013,0
"3,122",Goliyon Ki Rasleela Ram-Leela,6.4,2013,12
"3,123",Rajjo,2.8,2013,6
"3,125",Gori Tere Pyaar Mein!,4.9,2013,7
"3,126",Singh Saab the Great,5.7,2013,7
"3,127",Kaafiron Ki Namaaz,7.0,2013,11
"3,128",Mangalashtak Once More,6.2,2013,0
"3,129",Bullett Raja,4.9,2013,6
"3,130",Chakra the Invincible,7.7,2013,0
"3,131",Baga Beach,6.5,2013,1
"3,132",R... Rajkumar,5.2,2013,7
"3,133",Ankhon Dekhi,7.9,2013,19
"3,134",Club 60,7.5,2013,14
"3,135",Kajarya,6.5,2013,2
"3,138",Jackpot,2.0,2013,3
"3,140",What the Fish,5.2,2013,3
"3,141",Shringaar,5.7,2013,0
"3,142",Dhoom:3,5.3,2013,11
"3,144",Naari Chakra,7.4,2013,1
"3,145",Mahabharat,5.3,2013,9
"3,146",Mokssh,6.1,2013,0
"3,147",Bhadaas,2.5,2013,0
"3,150",Run Bhola Run,6.0,2013,0
"3,151",Woman from the East,8.7,2013,0
"3,156",Chemistry,5.3,2013,0
"3,159",Beehad - The Ravine,6.8,2013,1
"3,160",Pied Piper,6.9,2013,0
"3,163",Mutthi Bhar Sapne,7.8,2013,0
"3,166",SOS: Secrets of Sex,6.1,2013,0
"3,168",Mighty Raju vs Mighty Clone,8.2,2013,0
"3,172",Kid Krrish,8.2,2013,0
"3,173",Pandavas 5,7.8,2013,0
"3,174",Ek Rani Aisi Bhi Thi,6.9,2013,0
"3,179",Dil Bhi Khaali Jeb Bhi Khaali,6.0,2014,0
"3,180",Mr Joe B. Carvalho,3.5,2014,8
"3,181",Lakshmi,7.9,2014,23
"3,182",Dedh Ishqiya,7.0,2014,10
"3,183",Yaariyan,2.7,2014,22
"3,184",Patiala Dreamz,4.4,2014,0
"3,185",Supari - The Quest Begins Now,6.4,2014,0
"3,187",Strings of Passion,6.9,2014,0
"3,188",Paranthe Wali Gali,5.0,2014,2
